Scenario,Replication,Seed,Avg_Travel_Time,Trucks_Arrived
1,1,123,115.4842022736182,25510
1,2,456,147.81193112415778,25379
1,3,789,127.52403393025448,25464
1,4,101,118.78704539212994,25489
1,5,112,114.86964194674302,25499
