Scenario,Replication,Seed,Avg_Travel_Time,Trucks_Arrived
4,1,123,38.3125,16
4,2,456,36.34615384615385,26
4,3,789,43.166666666666664,6
4,4,101,22.0,7
4,5,112,34.75,8
