road,id,model_type,name,lat,lon,length
N1,1001228,bridge,bridge 713,21.0360552,92.2398608,0.041
N1,1001229,link,link 516,21.0338608,92.2407774,0.271
N1,1001230,bridge,bridge 714,21.0321104,92.241083,0.203
N1,1001231,bridge,bridge 715,21.0300549,92.2413608,0.233
N1,1001232,bridge,bridge 716,21.0269438,92.2416941,0.354
N1,1001233,link,link 517,21.0249993,92.2418608,0.209
N1,1001234,bridge,bridge 717,21.0228882,92.2420274,0.244
N1,1001235,bridge,bridge 718,21.0226104,92.2420552,0.035
N1,1001236,link,link 518,21.0186104,92.2431386,0.484
N1,1001237,bridge,bridge 719,21.0169993,92.2440274,0.207
N1,1001238,bridge,bridge 720,21.0150833,92.245333,0.256
N1,1001239,link,link 519,21.0107222,92.2487219,0.607
N1,1001240,bridge,bridge 721,21.0101389,92.2492497,0.091
N1,1001241,bridge,bridge 722,21.0078889,92.251,0.316
N1,1001242,bridge,bridge 723,21.0064444,92.2520833,0.201
N1,1001243,link,link 520,21.0029444,92.2531944,0.424
N1,1001244,bridge,bridge 724,20.9990274,92.2537778,0.445
N1,1001245,bridge,bridge 725,20.9986386,92.2538889,0.05
N1,1001246,bridge,bridge 726,20.9942497,92.2545278,0.503
N1,1001247,link,link 521,20.9940274,92.2546111,0.034
N1,1001248,bridge,bridge 727,20.9875274,92.2545556,0.742
N1,1001249,link,link 522,20.9852774,92.2536389,0.277
N1,1001250,bridge,bridge 728,20.9778049,92.25075,0.892
N1,1001251,bridge,bridge 729,20.9775827,92.2506111,0.032
N1,1001252,link,link 523,20.9769438,92.2502222,0.076
N1,1001253,bridge,bridge 730,20.9697216,92.2485552,0.861
N1,1001254,link,link 524,20.9682771,92.2488052,0.174
N1,1001255,bridge,bridge 731,20.9673604,92.2491663,0.119
N1,1001256,bridge,bridge 732,20.9671104,92.2494441,0.042
N1,1001257,bridge,bridge 733,20.9648611,92.2515278,0.337
N1,1001258,bridge,bridge 734,20.9622778,92.2528889,0.323
N1,1001259,bridge,bridge 735,20.9620556,92.2530556,0.031
N1,1001260,link,link 525,20.9606389,92.2535,0.168
N1,1001261,bridge,bridge 736,20.9580833,92.2543056,0.302
N1,1001262,bridge,bridge 737,20.9566667,92.2548056,0.17
N1,1001263,bridge,bridge 738,20.9538889,92.2559722,0.336
N1,1001264,bridge,bridge 739,20.9531667,92.2562778,0.093
