Scenario,Replication,Seed,Avg_Travel_Time,Trucks_Arrived
1,1,123,308.37489834070914,94679
1,2,456,351.80061444587864,93743
1,3,789,303.9772585768407,94761
1,4,101,284.7196534523497,95225
1,5,112,316.18371384439604,94522
