Scenario,Replication,Seed,Avg_Travel_Time,Trucks_Arrived
0,1,123,116.23939812651129,98426
0,2,456,116.47342867590298,98452
0,3,789,116.42216195351861,98448
0,4,101,116.03124968262834,98465
0,5,112,116.27308184532879,98454
