Scenario,Replication,Seed,tick,travel_time,phase
2,1,123,81,58,pre_flood
2,1,123,81,46,pre_flood
2,1,123,81,27,pre_flood
2,1,123,81,11,pre_flood
2,1,123,82,68,pre_flood
2,1,123,82,67,pre_flood
2,1,123,82,61,pre_flood
2,1,123,82,58,pre_flood
2,1,123,82,40,pre_flood
2,1,123,82,26,pre_flood
2,1,123,82,13,pre_flood
2,1,123,83,68,pre_flood
2,1,123,83,67,pre_flood
2,1,123,83,58,pre_flood
2,1,123,83,35,pre_flood
2,1,123,83,15,pre_flood
2,1,123,84,84,pre_flood
2,1,123,84,68,pre_flood
2,1,123,84,67,pre_flood
2,1,123,84,58,pre_flood
2,1,123,84,51,pre_flood
2,1,123,84,40,pre_flood
2,1,123,84,11,pre_flood
2,1,123,85,81,pre_flood
2,1,123,85,68,pre_flood
2,1,123,85,67,pre_flood
2,1,123,85,58,pre_flood
2,1,123,85,46,pre_flood
2,1,123,85,11,pre_flood
2,1,123,86,68,pre_flood
2,1,123,86,61,pre_flood
2,1,123,86,61,pre_flood
2,1,123,86,58,pre_flood
2,1,123,86,52,pre_flood
2,1,123,86,11,pre_flood
2,1,123,87,68,pre_flood
2,1,123,87,61,pre_flood
2,1,123,87,61,pre_flood
2,1,123,87,58,pre_flood
2,1,123,87,47,pre_flood
2,1,123,87,41,pre_flood
2,1,123,87,15,pre_flood
2,1,123,87,11,pre_flood
2,1,123,87,4,pre_flood
2,1,123,88,67,pre_flood
2,1,123,88,58,pre_flood
2,1,123,88,52,pre_flood
2,1,123,88,51,pre_flood
2,1,123,88,48,pre_flood
2,1,123,88,40,pre_flood
2,1,123,88,11,pre_flood
2,1,123,89,89,pre_flood
2,1,123,89,65,pre_flood
2,1,123,89,65,pre_flood
2,1,123,89,61,pre_flood
2,1,123,89,58,pre_flood
2,1,123,89,41,pre_flood
2,1,123,89,11,pre_flood
2,1,123,90,61,pre_flood
2,1,123,90,58,pre_flood
2,1,123,90,51,pre_flood
2,1,123,90,40,pre_flood
2,1,123,90,26,pre_flood
2,1,123,90,22,pre_flood
2,1,123,90,11,pre_flood
2,1,123,90,4,pre_flood
2,1,123,91,89,pre_flood
2,1,123,91,65,pre_flood
2,1,123,91,58,pre_flood
2,1,123,91,51,pre_flood
2,1,123,91,51,pre_flood
2,1,123,91,31,pre_flood
2,1,123,91,27,pre_flood
2,1,123,92,91,pre_flood
2,1,123,92,86,pre_flood
2,1,123,92,84,pre_flood
2,1,123,92,61,pre_flood
2,1,123,92,58,pre_flood
2,1,123,92,47,pre_flood
2,1,123,92,41,pre_flood
2,1,123,92,26,pre_flood
2,1,123,92,11,pre_flood
2,1,123,93,68,pre_flood
2,1,123,93,65,pre_flood
2,1,123,93,61,pre_flood
2,1,123,93,58,pre_flood
2,1,123,93,51,pre_flood
2,1,123,93,38,pre_flood
2,1,123,93,13,pre_flood
2,1,123,93,11,pre_flood
2,1,123,94,84,pre_flood
2,1,123,94,72,pre_flood
2,1,123,94,67,pre_flood
2,1,123,94,61,pre_flood
2,1,123,94,58,pre_flood
2,1,123,94,11,pre_flood
2,1,123,94,3,pre_flood
2,1,123,95,61,pre_flood
2,1,123,95,58,pre_flood
2,1,123,95,41,pre_flood
2,1,123,95,35,pre_flood
2,1,123,95,11,pre_flood
2,1,123,96,68,pre_flood
2,1,123,96,67,pre_flood
2,1,123,96,58,pre_flood
2,1,123,96,20,pre_flood
2,1,123,96,11,pre_flood
2,1,123,96,4,pre_flood
2,1,123,97,89,pre_flood
2,1,123,97,81,pre_flood
2,1,123,97,77,pre_flood
2,1,123,97,65,pre_flood
2,1,123,97,61,pre_flood
2,1,123,97,58,pre_flood
2,1,123,97,52,pre_flood
2,1,123,97,47,pre_flood
2,1,123,97,21,pre_flood
2,1,123,97,11,pre_flood
2,1,123,97,4,pre_flood
2,1,123,98,92,pre_flood
2,1,123,98,72,pre_flood
2,1,123,98,68,pre_flood
2,1,123,98,58,pre_flood
2,1,123,98,40,pre_flood
2,1,123,98,38,pre_flood
2,1,123,98,22,pre_flood
2,1,123,98,11,pre_flood
2,1,123,99,87,pre_flood
2,1,123,99,68,pre_flood
2,1,123,99,67,pre_flood
2,1,123,99,65,pre_flood
2,1,123,99,61,pre_flood
2,1,123,99,58,pre_flood
2,1,123,99,51,pre_flood
2,1,123,99,46,pre_flood
2,1,123,99,35,pre_flood
2,1,123,99,15,pre_flood
2,1,123,99,15,pre_flood
2,1,123,99,11,pre_flood
2,1,123,100,100,pre_flood
2,1,123,100,91,pre_flood
2,1,123,100,86,pre_flood
2,1,123,100,58,pre_flood
2,1,123,100,51,pre_flood
2,1,123,100,25,pre_flood
2,1,123,101,86,pre_flood
2,1,123,101,68,pre_flood
2,1,123,101,67,pre_flood
2,1,123,101,61,pre_flood
2,1,123,101,58,pre_flood
2,1,123,101,25,pre_flood
2,1,123,101,21,pre_flood
2,1,123,102,68,pre_flood
2,1,123,102,67,pre_flood
2,1,123,102,67,pre_flood
2,1,123,102,61,pre_flood
2,1,123,102,58,pre_flood
2,1,123,102,51,pre_flood
2,1,123,102,48,pre_flood
2,1,123,102,40,pre_flood
2,1,123,102,11,pre_flood
2,1,123,103,98,pre_flood
2,1,123,103,74,pre_flood
2,1,123,103,67,pre_flood
2,1,123,103,67,pre_flood
2,1,123,103,65,pre_flood
2,1,123,103,58,pre_flood
2,1,123,103,38,pre_flood
2,1,123,103,36,pre_flood
2,1,123,103,35,pre_flood
2,1,123,103,15,pre_flood
2,1,123,104,61,pre_flood
2,1,123,104,59,pre_flood
2,1,123,104,58,pre_flood
2,1,123,104,34,pre_flood
2,1,123,104,11,pre_flood
2,1,123,105,105,pre_flood
2,1,123,105,86,pre_flood
2,1,123,105,74,pre_flood
2,1,123,105,68,pre_flood
2,1,123,105,61,pre_flood
2,1,123,105,58,pre_flood
2,1,123,105,51,pre_flood
2,1,123,105,13,pre_flood
2,1,123,106,106,pre_flood
2,1,123,106,105,pre_flood
2,1,123,106,68,pre_flood
2,1,123,106,67,pre_flood
2,1,123,106,58,pre_flood
2,1,123,106,41,pre_flood
2,1,123,106,34,pre_flood
2,1,123,107,105,pre_flood
2,1,123,107,105,pre_flood
2,1,123,107,86,pre_flood
2,1,123,107,68,pre_flood
2,1,123,107,67,pre_flood
2,1,123,107,65,pre_flood
2,1,123,107,61,pre_flood
2,1,123,107,58,pre_flood
2,1,123,107,46,pre_flood
2,1,123,107,11,pre_flood
2,1,123,108,105,pre_flood
2,1,123,108,91,pre_flood
2,1,123,108,72,pre_flood
2,1,123,108,68,pre_flood
2,1,123,108,61,pre_flood
2,1,123,108,58,pre_flood
2,1,123,108,51,pre_flood
2,1,123,108,51,pre_flood
2,1,123,108,40,pre_flood
2,1,123,108,38,pre_flood
2,1,123,108,11,pre_flood
2,1,123,109,106,pre_flood
2,1,123,109,105,pre_flood
2,1,123,109,67,pre_flood
2,1,123,109,65,pre_flood
2,1,123,109,58,pre_flood
2,1,123,109,51,pre_flood
2,1,123,109,48,pre_flood
2,1,123,109,11,pre_flood
2,1,123,110,106,pre_flood
2,1,123,110,105,pre_flood
2,1,123,110,73,pre_flood
2,1,123,110,67,pre_flood
2,1,123,110,61,pre_flood
2,1,123,110,58,pre_flood
2,1,123,110,11,pre_flood
2,1,123,111,89,pre_flood
2,1,123,111,86,pre_flood
2,1,123,111,86,pre_flood
2,1,123,111,74,pre_flood
2,1,123,111,72,pre_flood
2,1,123,111,68,pre_flood
2,1,123,111,61,pre_flood
2,1,123,111,58,pre_flood
2,1,123,111,11,pre_flood
2,1,123,112,105,pre_flood
2,1,123,112,84,pre_flood
2,1,123,112,61,pre_flood
2,1,123,112,58,pre_flood
2,1,123,112,51,pre_flood
2,1,123,112,51,pre_flood
2,1,123,112,51,pre_flood
2,1,123,113,110,pre_flood
2,1,123,113,109,pre_flood
2,1,123,113,98,pre_flood
2,1,123,113,89,pre_flood
2,1,123,113,67,pre_flood
2,1,123,113,65,pre_flood
2,1,123,113,61,pre_flood
2,1,123,113,58,pre_flood
2,1,123,113,51,pre_flood
2,1,123,113,48,pre_flood
2,1,123,114,106,pre_flood
2,1,123,114,105,pre_flood
2,1,123,114,105,pre_flood
2,1,123,114,92,pre_flood
2,1,123,114,91,pre_flood
2,1,123,114,67,pre_flood
2,1,123,114,62,pre_flood
2,1,123,114,58,pre_flood
2,1,123,114,40,pre_flood
2,1,123,114,6,pre_flood
2,1,123,115,110,pre_flood
2,1,123,115,105,pre_flood
2,1,123,115,67,pre_flood
2,1,123,115,65,pre_flood
2,1,123,115,58,pre_flood
2,1,123,115,48,pre_flood
2,1,123,115,35,pre_flood
2,1,123,116,105,pre_flood
2,1,123,116,86,pre_flood
2,1,123,116,67,pre_flood
2,1,123,116,61,pre_flood
2,1,123,116,58,pre_flood
2,1,123,116,51,pre_flood
2,1,123,116,46,pre_flood
2,1,123,116,22,pre_flood
2,1,123,116,11,pre_flood
2,1,123,117,105,pre_flood
2,1,123,117,101,pre_flood
2,1,123,117,67,pre_flood
2,1,123,117,65,pre_flood
2,1,123,117,58,pre_flood
2,1,123,117,51,pre_flood
2,1,123,117,21,pre_flood
2,1,123,117,11,pre_flood
2,1,123,118,106,pre_flood
2,1,123,118,98,pre_flood
2,1,123,118,86,pre_flood
2,1,123,118,68,pre_flood
2,1,123,118,67,pre_flood
2,1,123,118,67,pre_flood
2,1,123,118,58,pre_flood
2,1,123,118,51,pre_flood
2,1,123,118,38,pre_flood
2,1,123,118,20,pre_flood
2,1,123,118,11,pre_flood
2,1,123,119,106,pre_flood
2,1,123,119,105,pre_flood
2,1,123,119,89,pre_flood
2,1,123,119,89,pre_flood
2,1,123,119,67,pre_flood
2,1,123,119,58,pre_flood
2,1,123,119,45,pre_flood
2,1,123,119,11,pre_flood
2,1,123,119,3,pre_flood
2,1,123,120,105,pre_flood
2,1,123,120,67,pre_flood
2,1,123,120,61,pre_flood
2,1,123,120,58,pre_flood
2,1,123,120,51,pre_flood
2,1,123,120,34,pre_flood
2,1,123,120,20,pre_flood
2,1,123,120,11,pre_flood
2,1,123,121,80,pre_flood
2,1,123,121,73,pre_flood
2,1,123,121,68,pre_flood
2,1,123,121,65,pre_flood
2,1,123,121,58,pre_flood
2,1,123,122,105,pre_flood
2,1,123,122,86,pre_flood
2,1,123,122,67,pre_flood
2,1,123,122,61,pre_flood
2,1,123,122,58,pre_flood
2,1,123,122,11,pre_flood
2,1,123,122,6,pre_flood
2,1,123,123,105,pre_flood
2,1,123,123,68,pre_flood
2,1,123,123,67,pre_flood
2,1,123,123,65,pre_flood
2,1,123,123,58,pre_flood
2,1,123,123,11,pre_flood
2,1,123,124,124,pre_flood
2,1,123,124,110,pre_flood
2,1,123,124,106,pre_flood
2,1,123,124,105,pre_flood
2,1,123,124,105,pre_flood
2,1,123,124,98,pre_flood
2,1,123,124,72,pre_flood
2,1,123,124,68,pre_flood
2,1,123,124,58,pre_flood
2,1,123,124,11,pre_flood
2,1,123,124,3,pre_flood
2,1,123,125,105,pre_flood
2,1,123,125,68,pre_flood
2,1,123,125,61,pre_flood
2,1,123,125,58,pre_flood
2,1,123,125,25,pre_flood
2,1,123,125,22,pre_flood
2,1,123,125,11,pre_flood
2,1,123,125,3,pre_flood
2,1,123,126,105,pre_flood
2,1,123,126,86,pre_flood
2,1,123,126,80,pre_flood
2,1,123,126,68,pre_flood
2,1,123,126,67,pre_flood
2,1,123,126,65,pre_flood
2,1,123,126,61,pre_flood
2,1,123,126,58,pre_flood
2,1,123,126,57,pre_flood
2,1,123,126,41,pre_flood
2,1,123,126,40,pre_flood
2,1,123,126,11,pre_flood
2,1,123,127,67,pre_flood
2,1,123,127,65,pre_flood
2,1,123,127,61,pre_flood
2,1,123,127,58,pre_flood
2,1,123,127,35,pre_flood
2,1,123,127,27,pre_flood
2,1,123,127,15,pre_flood
2,1,123,127,11,pre_flood
2,1,123,128,86,pre_flood
2,1,123,128,86,pre_flood
2,1,123,128,68,pre_flood
2,1,123,128,58,pre_flood
2,1,123,128,51,pre_flood
2,1,123,128,40,pre_flood
2,1,123,128,11,pre_flood
2,1,123,129,105,pre_flood
2,1,123,129,105,pre_flood
2,1,123,129,89,pre_flood
2,1,123,129,74,pre_flood
2,1,123,129,73,pre_flood
2,1,123,129,67,pre_flood
2,1,123,129,61,pre_flood
2,1,123,129,58,pre_flood
2,1,123,129,51,pre_flood
2,1,123,129,22,pre_flood
2,1,123,130,105,pre_flood
2,1,123,130,58,pre_flood
2,1,123,130,51,pre_flood
2,1,123,130,11,pre_flood
2,1,123,131,130,pre_flood
2,1,123,131,124,pre_flood
2,1,123,131,105,pre_flood
2,1,123,131,105,pre_flood
2,1,123,131,100,pre_flood
2,1,123,131,67,pre_flood
2,1,123,131,65,pre_flood
2,1,123,131,65,pre_flood
2,1,123,131,58,pre_flood
2,1,123,131,35,pre_flood
2,1,123,131,11,pre_flood
2,1,123,132,105,pre_flood
2,1,123,132,80,pre_flood
2,1,123,132,67,pre_flood
2,1,123,132,67,pre_flood
2,1,123,132,61,pre_flood
2,1,123,132,58,pre_flood
2,1,123,132,52,pre_flood
2,1,123,132,51,pre_flood
2,1,123,132,48,pre_flood
2,1,123,132,47,pre_flood
2,1,123,132,47,pre_flood
2,1,123,132,46,pre_flood
2,1,123,132,20,pre_flood
2,1,123,132,11,pre_flood
2,1,123,133,131,pre_flood
2,1,123,133,105,pre_flood
2,1,123,133,105,pre_flood
2,1,123,133,98,pre_flood
2,1,123,133,67,pre_flood
2,1,123,133,65,pre_flood
2,1,123,133,61,pre_flood
2,1,123,133,58,pre_flood
2,1,123,133,51,pre_flood
2,1,123,133,38,pre_flood
2,1,123,133,37,pre_flood
2,1,123,133,21,pre_flood
2,1,123,133,11,pre_flood
2,1,123,134,129,pre_flood
2,1,123,134,110,pre_flood
2,1,123,134,106,pre_flood
2,1,123,134,105,pre_flood
2,1,123,134,92,pre_flood
2,1,123,134,86,pre_flood
2,1,123,134,67,pre_flood
2,1,123,134,58,pre_flood
2,1,123,134,57,pre_flood
2,1,123,134,40,pre_flood
2,1,123,135,134,pre_flood
2,1,123,135,130,pre_flood
2,1,123,135,105,pre_flood
2,1,123,135,105,pre_flood
2,1,123,135,105,pre_flood
2,1,123,135,91,pre_flood
2,1,123,135,86,pre_flood
2,1,123,135,74,pre_flood
2,1,123,135,73,pre_flood
2,1,123,135,72,pre_flood
2,1,123,135,65,pre_flood
2,1,123,135,61,pre_flood
2,1,123,135,58,pre_flood
2,1,123,135,51,pre_flood
2,1,123,135,48,pre_flood
2,1,123,135,46,pre_flood
2,1,123,136,86,pre_flood
2,1,123,136,74,pre_flood
2,1,123,136,67,pre_flood
2,1,123,136,58,pre_flood
2,1,123,136,22,pre_flood
2,1,123,136,15,pre_flood
2,1,123,137,110,pre_flood
2,1,123,137,58,pre_flood
2,1,123,137,51,pre_flood
2,1,123,137,47,pre_flood
2,1,123,137,45,pre_flood
2,1,123,137,11,pre_flood
2,1,123,138,133,pre_flood
2,1,123,138,110,pre_flood
2,1,123,138,105,pre_flood
2,1,123,138,105,pre_flood
2,1,123,138,58,pre_flood
2,1,123,138,41,pre_flood
2,1,123,138,20,pre_flood
2,1,123,138,13,pre_flood
2,1,123,138,11,pre_flood
2,1,123,138,6,pre_flood
2,1,123,138,6,pre_flood
2,1,123,139,134,pre_flood
2,1,123,139,129,pre_flood
2,1,123,139,105,pre_flood
2,1,123,139,101,pre_flood
2,1,123,139,100,pre_flood
