Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
2,2,456,1000710,Link,,N1,,,,1441,201.583
2,2,456,1000712,Bridge,bridge 184,N1,A,False,False,0,12.6
2,2,456,1000713,Link,,N1,,,,58,35.049
2,2,456,1000714,Bridge,bridge 185,N1,A,False,False,0,6.2
2,2,456,1000715,Link,,N1,,,,0,10.896
2,2,456,1000716,Bridge,bridge 186,N1,A,False,False,0,3.0
2,2,456,1000717,Bridge,bridge 187,N1,A,False,False,2032,12.4
2,2,456,1000718,Link,,N1,,,,76,65.437
2,2,456,1000719,Bridge,bridge 188,N1,A,False,False,79,14.2
2,2,456,1000720,Bridge,bridge 189,N1,B,False,False,0,22.0
2,2,456,1000721,Link,,N1,,,,58,232.624
2,2,456,1000723,Bridge,bridge 190,N1,B,True,True,6200,22.4
2,2,456,1000724,Link,,N1,,,,0,92.703
2,2,456,1000725,Bridge,bridge 191,N1,A,False,False,70,2.5
2,2,456,1000726,Link,,N1,,,,7973,1301.643
2,2,456,1000730,Bridge,bridge 192,N1,A,False,False,0,22.4
2,2,456,1000731,Link,,N1,,,,7973,901.686
2,2,456,1000732,Bridge,bridge 193,N1,A,False,False,0,3.0
2,2,456,1000733,Link,,N1,,,,58,42.641
2,2,456,1000734,Bridge,bridge 194,N1,A,False,False,0,1.4
2,2,456,1000735,Link,,N1,,,,7839,518.433
2,2,456,1000737,Bridge,bridge 195,N1,A,False,False,0,4.5
2,2,456,1000738,Bridge,bridge 196,N1,A,False,False,0,9.3
2,2,456,1000739,Link,,N1,,,,2360,503.492
2,2,456,1000742,Bridge,bridge 197,N1,A,False,False,0,4.5
2,2,456,1000743,Bridge,bridge 198,N1,A,True,True,6203,4.7
2,2,456,1000744,Link,,N1,,,,1536,403.97999999999996
2,2,456,1000746,Bridge,bridge 199,N1,A,False,False,0,2.0
2,2,456,1000747,Bridge,bridge 200,N1,A,False,False,0,3.0
2,2,456,1000748,Link,,N1,,,,7977,2992.2650000000003
2,2,456,1000756,Bridge,bridge 201,N1,A,False,False,0,13.64
2,2,456,1000757,Link,,N1,,,,4519,553.982
2,2,456,1000759,Bridge,bridge 202,N1,A,False,False,0,9.3
2,2,456,1000760,Link,,N1,,,,7975,891.135
2,2,456,1000763,Bridge,bridge 203,N1,A,False,False,0,3.0
2,2,456,1000764,Link,,N1,,,,1593,517.927
2,2,456,1000765,Bridge,bridge 204,N1,A,False,False,0,3.0
2,2,456,1000766,Link,,N1,,,,7704,393.273
2,2,456,1000768,Bridge,bridge 205,N1,C,False,False,58,56.2
2,2,456,1000769,Link,,N1,,,,7977,929.458
2,2,456,1000771,Bridge,bridge 206,N1,A,False,False,0,14.3
2,2,456,1000772,Bridge,bridge 207,N1,A,False,False,0,2.1
2,2,456,1000773,Link,,N1,,,,57,143.183
2,2,456,1000774,Bridge,bridge 208,N1,A,False,False,0,4.5
2,2,456,1000775,Bridge,bridge 209,N1,A,False,False,0,3.0
2,2,456,1000776,Link,,N1,,,,6384,274.761
2,2,456,1000777,Bridge,bridge 210,N1,A,False,False,0,15.8
2,2,456,1000778,Link,,N1,,,,1663,685.763
2,2,456,1000779,Bridge,bridge 211,N1,A,False,False,0,7.3
2,2,456,1000780,Bridge,bridge 212,N1,C,True,True,6288,45.0
2,2,456,1000781,Link,,N1,,,,1456,281.291
2,2,456,1000782,Bridge,bridge 213,N1,A,False,False,0,14.0
2,2,456,1000783,Link,,N1,,,,8000,2157.717
2,2,456,1000788,Bridge,bridge 214,N1,A,False,False,0,20.6
2,2,456,1000789,Link,,N1,,,,8002,779.9290000000001
2,2,456,1000791,Bridge,bridge 215,N1,B,False,False,0,14.2
2,2,456,1000792,Link,,N1,,,,8004,967.735
2,2,456,1000794,Bridge,bridge 216,N1,A,False,False,0,15.7
2,2,456,1000795,Link,,N1,,,,8005,789.5029999999999
2,2,456,1000797,Bridge,bridge 217,N1,D,True,True,6492,294.15
2,2,456,1000798,Link,,N1,,,,8088,2638.283
2,2,456,1000806,Bridge,bridge 218,N1,B,False,False,0,9.3
2,2,456,1000807,Link,,N1,,,,8089,1156.384
2,2,456,1000811,Bridge,bridge 219,N1,A,False,False,0,12.6
2,2,456,1000812,Link,,N1,,,,8090,1193.986
2,2,456,1000816,Bridge,bridge 220,N1,A,False,False,0,12.8
2,2,456,1000817,Link,,N1,,,,8090,826.8240000000001
2,2,456,1000821,Bridge,bridge 221,N1,A,False,False,0,9.3
2,2,456,1000822,Link,,N1,,,,8094,3043.6690000000003
2,2,456,1000828,Bridge,bridge 222,N1,C,True,True,6367,58.57
2,2,456,1000829,Link,,N1,,,,199,141.869
2,2,456,1000830,Bridge,bridge 223,N1,A,False,False,0,3.5
2,2,456,1000831,Link,,N1,,,,8159,958.518
2,2,456,1000835,Bridge,bridge 224,N1,C,False,False,58,54.03
2,2,456,1000836,Link,,N1,,,,208,307.645
2,2,456,1000838,Bridge,bridge 225,N1,C,True,True,6413,60.03
2,2,456,1000839,Link,,N1,,,,8205,4445.05
2,2,456,1000846,Bridge,bridge 226,N1,A,True,True,6403,7.0
2,2,456,1000847,Bridge,bridge 227,N1,A,False,False,0,5.2
2,2,456,1000848,Link,,N1,,,,338,522.525
2,2,456,1000850,Bridge,bridge 228,N1,A,True,True,6414,9.3
2,2,456,1000851,Bridge,bridge 229,N1,A,False,False,68,14.0
2,2,456,1000852,Link,,N1,,,,0,143.125
2,2,456,1000853,Bridge,bridge 230,N1,A,False,False,0,1.4
2,2,456,1000854,Bridge,bridge 231,N1,C,True,True,6422,4.5
2,2,456,1000855,Link,,N1,,,,1583,193.459
2,2,456,1000856,Bridge,bridge 232,N1,A,False,False,0,2.5
2,2,456,1000857,Link,,N1,,,,8224,2724.735
2,2,456,1000863,Bridge,bridge 233,N1,A,False,False,0,4.8
2,2,456,1000864,Link,,N1,,,,198,265.051
2,2,456,1000865,Bridge,bridge 234,N1,A,False,False,7760,46.0
2,2,456,1000866,Link,,N1,,,,8231,2604.727
2,2,456,1000875,Bridge,bridge 235,N1,A,False,False,0,14.0
2,2,456,1000876,Link,,N1,,,,8232,818.905
2,2,456,1000878,Bridge,bridge 236,N1,A,False,False,0,3.0
2,2,456,1000879,Bridge,bridge 237,N1,A,False,False,0,2.5
2,2,456,1000880,Link,,N1,,,,8081,648.054
2,2,456,1000881,Bridge,bridge 238,N1,A,False,False,75,7.5
2,2,456,1000882,Link,,N1,,,,331,625.143
2,2,456,1000883,Bridge,bridge 239,N1,A,False,False,0,14.0
2,2,456,1000884,Link,,N1,,,,8241,3926.423
2,2,456,1000895,Bridge,bridge 240,N1,B,False,False,0,14.0
2,2,456,1000896,Link,,N1,,,,8242,1840.962
2,2,456,1000904,Bridge,bridge 241,N1,A,False,False,77,9.2
2,2,456,1000905,Link,,N1,,,,254,475.65200000000004
2,2,456,1000907,Bridge,bridge 242,N1,A,False,False,0,1.5
2,2,456,1000908,Link,,N1,,,,0,78.97
2,2,456,1000909,Bridge,bridge 243,N1,A,False,False,0,3.0
2,2,456,1000910,Link,,N1,,,,8243,1744.132
2,2,456,1000912,Bridge,bridge 244,N1,A,False,False,0,8.2
2,2,456,1000913,Link,,N1,,,,406,694.793
2,2,456,1000914,Bridge,bridge 245,N1,A,False,False,0,12.4
2,2,456,1000915,Link,,N1,,,,8246,731.289
2,2,456,1000917,Bridge,bridge 246,N1,A,False,False,0,2.0
2,2,456,1000918,Bridge,bridge 247,N1,A,False,False,0,6.8
2,2,456,1000919,Link,,N1,,,,8245,1659.246
