Scenario,Replication,Seed,Average_Travel_Time_mins,Trucks_Finished
0,1,123,44.89795918367347,98
0,2,456,43.70192307692308,104
0,3,789,41.34,100
0,4,101,44.11764705882353,102
0,5,112,45.87,100
0,6,131,43.48979591836735,98
0,7,415,44.09278350515464,97
0,8,161,44.07920792079208,101
0,9,718,41.39252336448598,107
0,10,192,43.31,100
