Scenario,Replication,Seed,Average_Travel_Time_mins,Trucks_Finished
4,1,123,48.464285714285715,28
4,2,456,38.62162162162162,37
4,3,789,31.46153846153846,39
4,4,101,46.07692307692308,39
4,5,112,55.82142857142857,28
4,6,131,44.40425531914894,47
4,7,415,44.166666666666664,18
4,8,161,34.630434782608695,46
4,9,718,31.146341463414632,41
4,10,192,42.26190476190476,42
