Scenario,Replication,Seed,Average_Travel_Time_mins,Trucks_Finished
1,1,123,44.89795918367347,98
1,2,456,43.23913043478261,92
1,3,789,42.13,100
1,4,101,44.63461538461539,104
1,5,112,43.68571428571428,105
1,6,131,44.5,98
1,7,415,44.09278350515464,97
1,8,161,44.07920792079208,101
1,9,718,42.853932584269664,89
1,10,192,44.40909090909091,88
