Scenario,Replication,Seed,Average_Travel_Time_mins,Trucks_Finished
2,1,123,43.344086021505376,93
2,2,456,44.864197530864196,81
2,3,789,44.39080459770115,87
2,4,101,39.26966292134831,89
2,5,112,42.247058823529414,85
2,6,131,44.840425531914896,94
2,7,415,44.61290322580645,62
2,8,161,45.255319148936174,94
2,9,718,37.74666666666667,75
2,10,192,40.925,80
