Scenario,Replication,Seed,Avg_Travel_Time,Trucks_Arrived
1,1,123,106.07747085061429,25558
1,2,456,136.74837592031182,25399
1,3,789,114.47807859577635,25523
1,4,101,108.68875832354094,25530
1,5,112,105.35695815702869,25524
